source_url,area,anchor_text,raw_href,target_url,link_type,target_in_page_inventory
https://www.roadsafe.co.za/advanced-vasr/,other,Skip to content,#content,https://www.roadsafe.co.za/advanced-vasr/#content,fragment,
https://www.roadsafe.co.za/advanced-vasr/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/advanced-vasr/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/advanced-vasr/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/advanced-vasr/,page,Click For Detailed Specifications,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,external,
https://www.roadsafe.co.za/arrow-warning/,other,Skip to content,#content,https://www.roadsafe.co.za/arrow-warning/#content,fragment,
https://www.roadsafe.co.za/arrow-warning/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/arrow-warning/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/arrow-warning/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/basic-vasr/,other,Skip to content,#content,https://www.roadsafe.co.za/basic-vasr/#content,fragment,
https://www.roadsafe.co.za/basic-vasr/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/basic-vasr/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/basic-vasr/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/basic-vasr/,page,Click For Detailed Specifications,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,external,
https://www.roadsafe.co.za/beacon-light/,other,Skip to content,#content,https://www.roadsafe.co.za/beacon-light/#content,fragment,
https://www.roadsafe.co.za/beacon-light/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/beacon-light/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/beacon-light/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/classic-vasr/,other,Skip to content,#content,https://www.roadsafe.co.za/classic-vasr/#content,fragment,
https://www.roadsafe.co.za/classic-vasr/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/classic-vasr/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/classic-vasr/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/classic-vasr/,page,Click For Detailed Specifications,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,external,
https://www.roadsafe.co.za/compact-vasr/,other,Skip to content,#content,https://www.roadsafe.co.za/compact-vasr/#content,fragment,
https://www.roadsafe.co.za/compact-vasr/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/compact-vasr/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/compact-vasr/,page,Take me there,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/compact-vasr/,page,Click For Detailed Specifications,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,external,
https://www.roadsafe.co.za/contact-us/,other,Skip to content,#content,https://www.roadsafe.co.za/contact-us/#content,fragment,
https://www.roadsafe.co.za/contact-us/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/contact-us/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/emotional-vasr/,other,Skip to content,#content,https://www.roadsafe.co.za/emotional-vasr/#content,fragment,
https://www.roadsafe.co.za/emotional-vasr/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/emotional-vasr/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/emotional-vasr/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/emotional-vasr/,page,Click For Detailed Specifications,https://drive.google.com/file/d/1jU04z6oibFigoeQY6NI38-gR15hLFKOO/view?usp=sharing,https://drive.google.com/file/d/1jU04z6oibFigoeQY6NI38-gR15hLFKOO/view?usp=sharing,external,
https://www.roadsafe.co.za/get-a-quote/,other,Skip to content,#content,https://www.roadsafe.co.za/get-a-quote/#content,fragment,
https://www.roadsafe.co.za/get-a-quote/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/get-a-quote/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/half-moon/,other,Skip to content,#content,https://www.roadsafe.co.za/half-moon/#content,fragment,
https://www.roadsafe.co.za/half-moon/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/half-moon/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/half-moon/,page,Take Me There,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/,other,Skip to content,#content,https://www.roadsafe.co.za/#content,fragment,
https://www.roadsafe.co.za/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
https://www.roadsafe.co.za/,header,Get A Quote,https://www.roadsafe.co.za/get-a-quote/,https://www.roadsafe.co.za/get-a-quote/,internal,true
https://www.roadsafe.co.za/,page,View Our Products,#products,https://www.roadsafe.co.za/#products,fragment,
https://www.roadsafe.co.za/,page,More Info,https://www.roadsafe.co.za/vms/,https://www.roadsafe.co.za/vms/,internal,true
https://www.roadsafe.co.za/,page,View All Variants,https://www.roadsafe.co.za/speed-radars/,https://www.roadsafe.co.za/speed-radars/,internal,true
https://www.roadsafe.co.za/,page,More Info,https://www.roadsafe.co.za/solar-light-tower/,https://www.roadsafe.co.za/solar-light-tower/,internal,true
https://www.roadsafe.co.za/,page,More Info,https://www.roadsafe.co.za/tcu/,https://www.roadsafe.co.za/tcu/,internal,true
https://www.roadsafe.co.za/,page,View all variants,https://www.roadsafe.co.za/lights/,https://www.roadsafe.co.za/lights/,internal,true
https://www.roadsafe.co.za/,page,see more faqs,#,https://www.roadsafe.co.za/#,fragment,
https://www.roadsafe.co.za/lights/,other,Skip to content,#content,https://www.roadsafe.co.za/lights/#content,fragment,
https://www.roadsafe.co.za/lights/,header,"",https://www.roadsafe.co.za,https://www.roadsafe.co.za,internal,true
